"","player","salaries","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"250","Anderson Varejao",458575,"C",82,273,22,21,48,16,29,50,15,5,5,6,35,58,"GSW"
"251","LaMarcus Aldridge",19500000,"PF",83,260,74,536,1045,259,302,632,110,38,81,99,151,1331,"SAS"
"252","Kyle Anderson",1142879,"SF",81,230,78,138,295,62,83,244,123,60,29,59,97,350,"SAS"
"253","Matt Bonner",1499187,"C",82,235,30,29,57,3,4,27,9,6,1,3,16,76,"SAS"
"254","Rasual Butler",1499187,"SF",79,215,46,49,104,11,16,56,24,13,23,8,11,124,"SAS"
"255","Boris Diaw",7e+06,"PF",80,250,76,202,383,56,76,233,176,26,21,97,102,485,"SAS"
"256","Tim Duncan",5e+06,"C",83,250,61,215,441,92,131,447,163,47,78,90,125,522,"SAS"
"257","Manu Ginobili",2814000,"SG",78,205,58,197,435,91,112,146,177,66,11,99,99,555,"SAS"
"258","Danny Green",1e+07,"SG",78,215,79,211,561,34,46,303,141,79,64,75,141,572,"SAS"
"259","Kawhi Leonard",16500000,"SF",79,230,72,551,1090,292,334,493,186,128,71,105,133,1523,"SAS"
"260","Boban Marjanovic",1200000,"C",87,290,54,105,174,87,114,194,21,12,23,29,54,297,"SAS"
"261","Kevin Martin",317475,"SG",79,199,16,30,85,28,30,29,12,9,2,13,15,99,"SAS"
"262","Ray McCallum",947276,"PG",75,190,31,27,67,9,10,31,33,5,4,11,14,68,"SAS"
"263","Andre Miller",396844,"PG",75,200,13,23,48,9,13,27,29,7,0,12,14,56,"SAS"
"264","Patrick Mills",3578947,"PG",72,185,81,260,612,47,58,158,226,59,6,76,102,690,"SAS"
"265","Tony Parker",13437500,"PG",74,185,72,350,710,130,171,176,379,54,11,131,114,857,"SAS"
"266","Jonathon Simmons",525093,"SG",78,195,55,122,242,69,92,96,58,24,5,53,103,331,"SAS"
"267","David West",1499000,"PF",81,250,78,244,448,63,80,309,143,44,55,68,142,554,"SAS"
