"player","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV","G","EFF","salaries","position"
"Al Horford",1249,596,263,68,121,519,26,107,82,0.0370345300052136,1.2e+07,"C"
"Kris Humphries",134,71,13,10,7,54,13,14,21,0.0149406807411639,388025,"PF"
"Kyle Korver",739,260,164,60,35,348,9,98,80,0.0167495840403982,5746479,"SG"
"Paul Millsap",1385,732,265,147,139,565,99,191,81,0.0442128691110384,1.9e+07,"PF"
"Mike Muscala",195,117,34,13,27,76,8,27,60,0.00846998246988863,947276,"C"
"Lamar Patterson",84,50,39,9,2,52,6,23,35,0.00481965976489789,525093,"SG"
"Dennis Schroder",879,204,349,70,9,452,38,183,80,0.0160751290841767,1763400,"PG"
"Mike Scott",464,206,78,25,17,200,13,42,75,0.0142411565656713,3333333,"PF"
"Thabo Sefolosha",480,334,107,85,37,184,37,68,75,0.0164343175531463,4e+06,"SF"
"Tiago Splitter",201,120,30,20,12,74,9,24,36,0.0143320050099653,8500000,"C"
"Walter Tavares",25,21,3,1,6,8,5,5,11,0.00654045615492676,1e+06,"C"
"Jeff Teague",1239,214,470,97,24,554,51,218,79,0.0238232877365585,8e+06,"PG"
"Avery Bradley",1155,220,158,117,19,563,27,109,76,0.0217942186479705,7730337,"SG"
"Coty Clarke",6,1,0,0,0,2,0,1,3,0.00236912813439256,61776,"SF"
"Jae Crowder",1038,373,135,126,35,453,43,83,73,0.025813485729781,6e+06,"SF"
"R.J. Hunter",97,37,13,14,4,62,1,11,36,0.00415364538134116,1148640,"SG"
"Jonas Jerebko",340,288,62,20,24,168,17,52,78,0.012627806235802,5e+06,"PF"
"Amir Johnson",577,505,138,52,83,177,52,94,79,0.0257045925398069,1.2e+07,"PF"
"David Lee",214,130,54,12,13,105,11,38,30,0.0176084892151923,15493680,"PF"
"Jordan Mickey",21,13,1,0,11,14,5,1,16,0.00314045478049115,1200000,"PF"
"Kelly Olynyk",687,281,105,52,33,303,32,74,69,0.0204900850313881,2165160,"C"
"Terry Rozier",72,63,37,6,1,77,2,19,39,0.00297295078449692,1824360,"PG"
"Marcus Smart",558,255,185,91,18,345,37,80,61,0.0158492691968766,3431040,"PG"
